output for Psykhe - Zloveleen

total  dmg:220982 cost:1800 hits:762
Deep Wound   dmg:-446 cost:0 hits:-2
Whirlwind   dmg:-3805 cost:-25 hits:-1
hit   dmg:1191 cost:0 hits:2
reflect   dmg:-30 cost:0 hits:-1

Vekniss Hive Crawler   dmg:32941 cost:275 hits:70
Bloodthirst   dmg:2300 cost:90 hits:3
Cleave   dmg:3536 cost:60 hits:5
Deep Wound   dmg:239 cost:0 hits:7
Execute   dmg:5968 cost:90 hits:6
Slam   dmg:-1666 cost:-15 hits:-1
Whirlwind   dmg:3997 cost:50 hits:6
hit   dmg:18567 cost:0 hits:44

Vekniss Soldier   dmg:-9971 cost:-130 hits:-1
Bloodthirst   dmg:984 cost:30 hits:1
Cleave   dmg:-4433 cost:-80 hits:-4
Deep Wound   dmg:124 cost:0 hits:3
Execute   dmg:1265 cost:15 hits:1
Hamstring   dmg:31 cost:10 hits:1
Heroic Strike   dmg:-715 cost:-15 hits:-1
Slam   dmg:-945 cost:-15 hits:-1
Whirlwind   dmg:-807 cost:-75 hits:-2
hit   dmg:-5475 cost:0 hits:1

Vekniss Stinger   dmg:-7334 cost:-55 hits:-7
Bloodthirst   dmg:-1933 cost:-30 hits:-1
Cleave   dmg:-799 cost:0 hits:-1
Whirlwind   dmg:-2114 cost:-25 hits:-3
hit   dmg:-2488 cost:0 hits:-2

Vekniss Warrior   dmg:29 cost:-15 hits:21
Bloodthirst   dmg:-1867 cost:-60 hits:-2
Cleave   dmg:794 cost:20 hits:2
Deep Wound   dmg:316 cost:0 hits:6
Execute   dmg:1031 cost:15 hits:1
Hamstring   dmg:31 cost:10 hits:1
Whirlwind   dmg:-1234 cost:0 hits:-1
hit   dmg:958 cost:0 hits:14

Vekniss Wasp   dmg:-5543 cost:-75 hits:-3
Bloodthirst   dmg:-756 cost:-30 hits:-1
Cleave   dmg:-1841 cost:-20 hits:-1
Deep Wound   dmg:-76 cost:0 hits:2
Intercept Stun   dmg:-46 cost:0 hits:-1
Whirlwind   dmg:-2118 cost:-25 hits:-2
hit   dmg:-706 cost:0 hits:0

Vem   dmg:834 cost:25 hits:3
Bloodthirst   dmg:96 cost:0 hits:0
Deep Wound   dmg:0 cost:0 hits:0
Execute   dmg:2153 cost:0 hits:0
Heroic Strike   dmg:-1584 cost:0 hits:0
